Your Grace	ˈgreɪs 	Ekscelencjo, Wasza Miłość
Landing 	ˈlændɪŋ 	Lądowanie;Przystań
on the way 	ˈweɪ 	mający się wkrótce wydarzyć; w drodze; po drodze
claim 	ˈkleɪm 	twierdzić
right 	ˈraɪt 	prawo
ride 	ˈraɪd 	jazda
serve 	ˈsərv 	służyć
Watch 	ˈwɑtʃ 	Obserwować
old 	ˈoʊld 	stary
struck 	ˈstrək 	uderzył
terrors 	ˈterərz 	strachy
Southerners 	ˈsəðənərz 	Południowcy
called 	ˈkɔld 	nazywane
choose 	ˈtʃuːz 	wybierać
foul 	ˈfæʊl 	faul
found 	ˈfæʊnd 	znalezionych
peasants 	ˈpezənts 	Chłopi
prominent 	[prominent] 	wybitny
service 	ˈsərvəs 	serwis
times 	ˈtaɪmz 	czasy
trade 	ˈtreɪd 	handlu
upon 	əˈpɔn 	na
wildlings 	[wildlings] 	Dzicy
Commander 	kəˈmændər 	Dowódca
Hall 	ˈhɔl 	Sala
Regent 	ˈriːdʒənt 	Regent
affections 	əˈfekʃənz 	uczucia
awkward 	ˈɔkwərd 	niezgrabny
aye 	ˈeɪ 	aye
bannermen 	[bannermen] 	bannermen
bit 	ˈbɪt 	bit
cast 	ˈkæst 	rzucać
commander 	kəˈmændər 	dowódca
conqueror 	[conqueror] 	zdobywca
council 	ˈkæʊnsəl 	rada
cum 	ˈkʊm 	cum
establishment 	ɪˈstæblɪʃmənt 	ustanowienie
honorable 	ˈɑnərbəl 	honorowy
leagues 	ˈliːgz 	ligi
locate 	ˈloʊˌkeɪt 	zlokalizować
masons 	ˈmeɪsənz 	murarzami
meant 	ˈment 	Oznaczało
messing 	ˈmesɪŋ 	brudząc
mothered 	ˈməðərd 	matkowało
nor 	ˈnɔr 	ani
north 	ˈnɔrθ 	na północ
offer 	ˈɔfər 	oferować
owe 	ˈoʊ 	zawdzięczać
proper 	ˈprɑpər 	właściwy
sledge 	ˈsledʒ 	sanki
stead 	ˈsted 	Stead
steward 	ˈstuːərd 	steward
superstition 	ˌsuːpərˈstɪʃən 	przesąd
thieves 	ˈθiːvz 	złodzieje
trueborn 	ˈtruːˈbɔrn 	prawdziwy z krwi i kości
vows 	ˈvæʊz 	śluby
